DATAFLOW,freq,indic_env,wst_oper,country_code,year,value,OBS_FLAG
ESTAT:ENV_WASFAC(1.0),A,CAP,DSP_I,EU27_2020,2006,37060000.0,
ESTAT:ENV_WASFAC(1.0),A,CAP,DSP_I,EU27_2020,2008,33650000.0,
ESTAT:ENV_WASFAC(1.0),A,CAP,DSP_I,EU27_2020,2010,27910000.0,
ESTAT:ENV_WASFAC(1.0),A,CAP,DSP_I,EU27_2020,2012,29530000.0,
ESTAT:ENV_WASFAC(1.0),A,CAP,DSP_I,EU27_2020,2014,24400000.0,
ESTAT:ENV_WASFAC(1.0),A,CAP,DSP_I,EU27_2020,2016,22110000.0,
ESTAT:ENV_WASFAC(1.0),A,CAP,DSP_I,EU27_2020,2018,20360000.0,
ESTAT:ENV_WASFAC(1.0),A,CAP,DSP_I,EU27_2020,2020,15290000.0,s
ESTAT:ENV_WASFAC(1.0),A,CAP,DSP_I,EU28,2004,32240000.0,
ESTAT:ENV_WASFAC(1.0),A,CAP,DSP_I,EU28,2006,46210000.0,
ESTAT:ENV_WASFAC(1.0),A,CAP,DSP_I,EU28,2008,42770000.0,
ESTAT:ENV_WASFAC(1.0),A,CAP,DSP_I,EU28,2010,35800000.0,
ESTAT:ENV_WASFAC(1.0),A,CAP,DSP_I,EU28,2012,37920000.0,
ESTAT:ENV_WASFAC(1.0),A,CAP,DSP_I,EU28,2014,34260000.0,
ESTAT:ENV_WASFAC(1.0),A,CAP,DSP_I,EU28,2016,30580000.0,
ESTAT:ENV_WASFAC(1.0),A,CAP,DSP_I,EU28,2018,32620000.0,
ESTAT:ENV_WASFAC(1.0),A,CAP,DSP_I,FI,2004,355000.0,
ESTAT:ENV_WASFAC(1.0),A,CAP,DSP_I,FI,2006,67000.0,
ESTAT:ENV_WASFAC(1.0),A,CAP,DSP_I,FI,2010,479000.0,
ESTAT:ENV_WASFAC(1.0),A,CAP,DSP_I,FI,2012,604665.0,e
ESTAT:ENV_WASFAC(1.0),A,CAP,DSP_I,FI,2014,604665.0,e
ESTAT:ENV_WASFAC(1.0),A,CAP,DSP_I,FI,2018,97603.0,e
ESTAT:ENV_WASFAC(1.0),A,CAP,DSP_I,NO,2004,725804.0,
ESTAT:ENV_WASFAC(1.0),A,CAP,DSP_I,NO,2006,3000.0,
ESTAT:ENV_WASFAC(1.0),A,CAP,DSP_I,NO,2008,3000.0,
ESTAT:ENV_WASFAC(1.0),A,CAP,DSP_I,NO,2010,6000.0,
ESTAT:ENV_WASFAC(1.0),A,CAP,DSP_I,NO,2012,3000.0,
ESTAT:ENV_WASFAC(1.0),A,CAP,DSP_I,NO,2014,49900.0,
ESTAT:ENV_WASFAC(1.0),A,CAP,DSP_I,NO,2016,68600.0,
ESTAT:ENV_WASFAC(1.0),A,CAP,DSP_I,NO,2018,32600.0,
ESTAT:ENV_WASFAC(1.0),A,CAP,DSP_I,NO,2020,255238.0,
ESTAT:ENV_WASFAC(1.0),A,CAP,DSP_I,SE,2004,105.0,
ESTAT:ENV_WASFAC(1.0),A,CAP,DSP_I,SE,2006,134249.0,
ESTAT:ENV_WASFAC(1.0),A,CAP,DSP_I,SE,2008,88400.0,
ESTAT:ENV_WASFAC(1.0),A,CAP,DSP_I,SE,2010,90110.0,
ESTAT:ENV_WASFAC(1.0),A,CAP,DSP_I,SE,2012,75300.0,
ESTAT:ENV_WASFAC(1.0),A,CAP,DSP_I,SE,2014,141750.0,e
ESTAT:ENV_WASFAC(1.0),A,CAP,DSP_I,SE,2016,260100.0,e
ESTAT:ENV_WASFAC(1.0),A,CAP,DSP_I,SE,2018,244069.0,e
ESTAT:ENV_WASFAC(1.0),A,CAP,DSP_I,SE,2020,86000.0,e
ESTAT:ENV_WASFAC(1.0),A,CAP,DSP_L_OTH,EU27_2020,2006,7470000.0,
ESTAT:ENV_WASFAC(1.0),A,CAP,DSP_L_OTH,EU27_2020,2008,12030000.0,
ESTAT:ENV_WASFAC(1.0),A,CAP,DSP_L_OTH,EU28,2004,3930000.0,
ESTAT:ENV_WASFAC(1.0),A,CAP,DSP_L_OTH,EU28,2006,7470000.0,
ESTAT:ENV_WASFAC(1.0),A,CAP,DSP_L_OTH,EU28,2008,12030000.0,
ESTAT:ENV_WASFAC(1.0),A,CAP,DSP_L_OTH,EU28,2012,,s
ESTAT:ENV_WASFAC(1.0),A,CAP,DSP_L_OTH,FI,2004,0.0,
ESTAT:ENV_WASFAC(1.0),A,CAP,DSP_L_OTH,FI,2006,0.0,
ESTAT:ENV_WASFAC(1.0),A,CAP,DSP_L_OTH,NO,2004,0.0,
ESTAT:ENV_WASFAC(1.0),A,CAP,DSP_L_OTH,NO,2006,0.0,
ESTAT:ENV_WASFAC(1.0),A,CAP,DSP_L_OTH,NO,2008,0.0,
ESTAT:ENV_WASFAC(1.0),A,CAP,DSP_L_OTH,SE,2004,4123.0,
ESTAT:ENV_WASFAC(1.0),A,CAP,DSP_L_OTH,SE,2006,888375.0,
ESTAT:ENV_WASFAC(1.0),A,CAP,DSP_L_OTH,SE,2008,116000.0,
ESTAT:ENV_WASFAC(1.0),A,CAP,DSP_OTH,EU27_2020,2006,7470000.0,
ESTAT:ENV_WASFAC(1.0),A,CAP,DSP_OTH,EU27_2020,2008,12030000.0,
ESTAT:ENV_WASFAC(1.0),A,CAP,DSP_OTH,EU28,2004,3930000.0,
ESTAT:ENV_WASFAC(1.0),A,CAP,DSP_OTH,EU28,2006,7470000.0,
ESTAT:ENV_WASFAC(1.0),A,CAP,DSP_OTH,EU28,2008,12030000.0,
ESTAT:ENV_WASFAC(1.0),A,CAP,DSP_OTH,EU28,2012,,s
ESTAT:ENV_WASFAC(1.0),A,CAP,DSP_OTH,FI,2006,0.0,
ESTAT:ENV_WASFAC(1.0),A,CAP,DSP_OTH,NO,2004,0.0,
ESTAT:ENV_WASFAC(1.0),A,CAP,DSP_OTH,NO,2006,0.0,
ESTAT:ENV_WASFAC(1.0),A,CAP,DSP_OTH,NO,2008,0.0,
ESTAT:ENV_WASFAC(1.0),A,CAP,DSP_OTH,SE,2004,4123.0,
ESTAT:ENV_WASFAC(1.0),A,CAP,DSP_OTH,SE,2006,888375.0,
ESTAT:ENV_WASFAC(1.0),A,CAP,DSP_OTH,SE,2008,116000.0,
ESTAT:ENV_WASFAC(1.0),A,CAP,RCV_E,EU27_2020,2006,88970000.0,
ESTAT:ENV_WASFAC(1.0),A,CAP,RCV_E,EU27_2020,2008,77340000.0,
ESTAT:ENV_WASFAC(1.0),A,CAP,RCV_E,EU27_2020,2010,115390000.0,
ESTAT:ENV_WASFAC(1.0),A,CAP,RCV_E,EU27_2020,2012,146660000.0,
ESTAT:ENV_WASFAC(1.0),A,CAP,RCV_E,EU27_2020,2014,144810000.0,
ESTAT:ENV_WASFAC(1.0),A,CAP,RCV_E,EU27_2020,2016,146250000.0,
ESTAT:ENV_WASFAC(1.0),A,CAP,RCV_E,EU27_2020,2018,168710000.0,
ESTAT:ENV_WASFAC(1.0),A,CAP,RCV_E,EU27_2020,2020,183500000.0,s
ESTAT:ENV_WASFAC(1.0),A,CAP,RCV_E,EU28,2004,48290000.0,
ESTAT:ENV_WASFAC(1.0),A,CAP,RCV_E,EU28,2006,89160000.0,
ESTAT:ENV_WASFAC(1.0),A,CAP,RCV_E,EU28,2008,77900000.0,
ESTAT:ENV_WASFAC(1.0),A,CAP,RCV_E,EU28,2010,117650000.0,
ESTAT:ENV_WASFAC(1.0),A,CAP,RCV_E,EU28,2012,149550000.0,
ESTAT:ENV_WASFAC(1.0),A,CAP,RCV_E,EU28,2014,149670000.0,
ESTAT:ENV_WASFAC(1.0),A,CAP,RCV_E,EU28,2016,156050000.0,
ESTAT:ENV_WASFAC(1.0),A,CAP,RCV_E,EU28,2018,180150000.0,
ESTAT:ENV_WASFAC(1.0),A,CAP,RCV_E,FI,2004,422390.0,
ESTAT:ENV_WASFAC(1.0),A,CAP,RCV_E,FI,2006,2278800.0,
ESTAT:ENV_WASFAC(1.0),A,CAP,RCV_E,FI,2010,9847135.0,
ESTAT:ENV_WASFAC(1.0),A,CAP,RCV_E,FI,2012,10317071.0,e
ESTAT:ENV_WASFAC(1.0),A,CAP,RCV_E,FI,2014,10317071.0,e
ESTAT:ENV_WASFAC(1.0),A,CAP,RCV_E,FI,2018,8814481.0,
ESTAT:ENV_WASFAC(1.0),A,CAP,RCV_E,NO,2004,955152.0,
ESTAT:ENV_WASFAC(1.0),A,CAP,RCV_E,NO,2006,1475284.0,
ESTAT:ENV_WASFAC(1.0),A,CAP,RCV_E,NO,2008,1555172.0,
ESTAT:ENV_WASFAC(1.0),A,CAP,RCV_E,NO,2010,1716994.0,
ESTAT:ENV_WASFAC(1.0),A,CAP,RCV_E,NO,2012,2254550.0,
ESTAT:ENV_WASFAC(1.0),A,CAP,RCV_E,NO,2014,2101100.0,
ESTAT:ENV_WASFAC(1.0),A,CAP,RCV_E,NO,2016,1856500.0,
ESTAT:ENV_WASFAC(1.0),A,CAP,RCV_E,NO,2018,1737560.0,
ESTAT:ENV_WASFAC(1.0),A,CAP,RCV_E,NO,2020,1343726.0,
ESTAT:ENV_WASFAC(1.0),A,CAP,RCV_E,SE,2004,17261.0,
ESTAT:ENV_WASFAC(1.0),A,CAP,RCV_E,SE,2006,19112085.0,
ESTAT:ENV_WASFAC(1.0),A,CAP,RCV_E,SE,2008,8390000.0,
ESTAT:ENV_WASFAC(1.0),A,CAP,RCV_E,SE,2010,6750000.0,e
ESTAT:ENV_WASFAC(1.0),A,CAP,RCV_E,SE,2012,7025000.0,e
ESTAT:ENV_WASFAC(1.0),A,CAP,RCV_E,SE,2014,7940000.0,e
ESTAT:ENV_WASFAC(1.0),A,CAP,RCV_E,SE,2016,10050000.0,e
ESTAT:ENV_WASFAC(1.0),A,CAP,RCV_E,SE,2018,9750000.0,e
ESTAT:ENV_WASFAC(1.0),A,CAP,RCV_E,SE,2020,11155000.0,e
ESTAT:ENV_WASFAC(1.0),A,CAP,RCV_R_B,EU27_2020,2006,595480000.0,
ESTAT:ENV_WASFAC(1.0),A,CAP,RCV_R_B,EU27_2020,2008,643030000.0,
ESTAT:ENV_WASFAC(1.0),A,CAP,RCV_R_B,EU28,2004,404960000.0,
ESTAT:ENV_WASFAC(1.0),A,CAP,RCV_R_B,EU28,2006,736400000.0,
ESTAT:ENV_WASFAC(1.0),A,CAP,RCV_R_B,EU28,2008,780210000.0,
ESTAT:ENV_WASFAC(1.0),A,CAP,RCV_R_B,FI,2004,3128335.0,
ESTAT:ENV_WASFAC(1.0),A,CAP,RCV_R_B,FI,2006,6018364.0,
ESTAT:ENV_WASFAC(1.0),A,CAP,RCV_R_B,NO,2004,2614687.0,s
ESTAT:ENV_WASFAC(1.0),A,CAP,RCV_R_B,NO,2006,1993973.0,
ESTAT:ENV_WASFAC(1.0),A,CAP,RCV_R_B,NO,2008,732167.0,
ESTAT:ENV_WASFAC(1.0),A,CAP,RCV_R_B,SE,2004,22439.0,
ESTAT:ENV_WASFAC(1.0),A,CAP,RCV_R_B,SE,2006,29246015.0,
ESTAT:ENV_WASFAC(1.0),A,CAP,RCV_R_B,SE,2008,9850000.0,
ESTAT:ENV_WASFAC(1.0),A,FAC,DSP_I,EU27_2020,2006,809.0,
ESTAT:ENV_WASFAC(1.0),A,FAC,DSP_I,EU27_2020,2008,945.0,
ESTAT:ENV_WASFAC(1.0),A,FAC,DSP_I,EU27_2020,2010,800.0,
ESTAT:ENV_WASFAC(1.0),A,FAC,DSP_I,EU27_2020,2012,720.0,
ESTAT:ENV_WASFAC(1.0),A,FAC,DSP_I,EU27_2020,2014,729.0,
ESTAT:ENV_WASFAC(1.0),A,FAC,DSP_I,EU27_2020,2016,652.0,
ESTAT:ENV_WASFAC(1.0),A,FAC,DSP_I,EU27_2020,2018,650.0,
ESTAT:ENV_WASFAC(1.0),A,FAC,DSP_I,EU27_2020,2020,548.0,s
ESTAT:ENV_WASFAC(1.0),A,FAC,DSP_I,EU28,2004,671.0,
ESTAT:ENV_WASFAC(1.0),A,FAC,DSP_I,EU28,2006,3913.0,
ESTAT:ENV_WASFAC(1.0),A,FAC,DSP_I,EU28,2008,5600.0,
ESTAT:ENV_WASFAC(1.0),A,FAC,DSP_I,EU28,2010,926.0,
ESTAT:ENV_WASFAC(1.0),A,FAC,DSP_I,EU28,2012,807.0,
ESTAT:ENV_WASFAC(1.0),A,FAC,DSP_I,EU28,2014,812.0,
ESTAT:ENV_WASFAC(1.0),A,FAC,DSP_I,EU28,2016,730.0,
ESTAT:ENV_WASFAC(1.0),A,FAC,DSP_I,EU28,2018,741.0,
ESTAT:ENV_WASFAC(1.0),A,FAC,DSP_I,FI,2004,4.0,
ESTAT:ENV_WASFAC(1.0),A,FAC,DSP_I,FI,2006,2.0,
ESTAT:ENV_WASFAC(1.0),A,FAC,DSP_I,FI,2010,55.0,
ESTAT:ENV_WASFAC(1.0),A,FAC,DSP_I,FI,2012,18.0,
ESTAT:ENV_WASFAC(1.0),A,FAC,DSP_I,FI,2014,18.0,
ESTAT:ENV_WASFAC(1.0),A,FAC,DSP_I,FI,2018,7.0,
ESTAT:ENV_WASFAC(1.0),A,FAC,DSP_I,NO,2004,14.0,
ESTAT:ENV_WASFAC(1.0),A,FAC,DSP_I,NO,2006,1.0,
ESTAT:ENV_WASFAC(1.0),A,FAC,DSP_I,NO,2008,1.0,
ESTAT:ENV_WASFAC(1.0),A,FAC,DSP_I,NO,2010,1.0,
ESTAT:ENV_WASFAC(1.0),A,FAC,DSP_I,NO,2012,1.0,
ESTAT:ENV_WASFAC(1.0),A,FAC,DSP_I,NO,2014,4.0,
ESTAT:ENV_WASFAC(1.0),A,FAC,DSP_I,NO,2016,4.0,
ESTAT:ENV_WASFAC(1.0),A,FAC,DSP_I,NO,2018,3.0,
ESTAT:ENV_WASFAC(1.0),A,FAC,DSP_I,NO,2020,3.0,
ESTAT:ENV_WASFAC(1.0),A,FAC,DSP_I,SE,2004,16.0,
ESTAT:ENV_WASFAC(1.0),A,FAC,DSP_I,SE,2006,15.0,
ESTAT:ENV_WASFAC(1.0),A,FAC,DSP_I,SE,2008,15.0,
ESTAT:ENV_WASFAC(1.0),A,FAC,DSP_I,SE,2010,12.0,
ESTAT:ENV_WASFAC(1.0),A,FAC,DSP_I,SE,2012,8.0,
ESTAT:ENV_WASFAC(1.0),A,FAC,DSP_I,SE,2014,23.0,
ESTAT:ENV_WASFAC(1.0),A,FAC,DSP_I,SE,2016,35.0,e
ESTAT:ENV_WASFAC(1.0),A,FAC,DSP_I,SE,2018,30.0,e
ESTAT:ENV_WASFAC(1.0),A,FAC,DSP_I,SE,2020,24.0,e
ESTAT:ENV_WASFAC(1.0),A,FAC,DSP_L,EU27_2020,2006,9204.0,
ESTAT:ENV_WASFAC(1.0),A,FAC,DSP_L,EU27_2020,2008,7600.0,
ESTAT:ENV_WASFAC(1.0),A,FAC,DSP_L,EU27_2020,2010,,c
ESTAT:ENV_WASFAC(1.0),A,FAC,DSP_L,EU27_2020,2012,5871.0,
ESTAT:ENV_WASFAC(1.0),A,FAC,DSP_L,EU27_2020,2014,5729.0,
ESTAT:ENV_WASFAC(1.0),A,FAC,DSP_L,EU27_2020,2016,4848.0,
ESTAT:ENV_WASFAC(1.0),A,FAC,DSP_L,EU27_2020,2018,5426.0,
ESTAT:ENV_WASFAC(1.0),A,FAC,DSP_L,EU27_2020,2020,6164.0,s
ESTAT:ENV_WASFAC(1.0),A,FAC,DSP_L,EU28,2004,8292.0,
ESTAT:ENV_WASFAC(1.0),A,FAC,DSP_L,EU28,2006,9925.0,
ESTAT:ENV_WASFAC(1.0),A,FAC,DSP_L,EU28,2008,8161.0,
ESTAT:ENV_WASFAC(1.0),A,FAC,DSP_L,EU28,2010,,c
ESTAT:ENV_WASFAC(1.0),A,FAC,DSP_L,EU28,2012,6465.0,
ESTAT:ENV_WASFAC(1.0),A,FAC,DSP_L,EU28,2014,6325.0,
ESTAT:ENV_WASFAC(1.0),A,FAC,DSP_L,EU28,2016,5452.0,
ESTAT:ENV_WASFAC(1.0),A,FAC,DSP_L,EU28,2018,6055.0,
ESTAT:ENV_WASFAC(1.0),A,FAC,DSP_L,FI,2004,269.0,
ESTAT:ENV_WASFAC(1.0),A,FAC,DSP_L,FI,2006,300.0,
ESTAT:ENV_WASFAC(1.0),A,FAC,DSP_L,FI,2010,268.0,
ESTAT:ENV_WASFAC(1.0),A,FAC,DSP_L,FI,2012,227.0,
ESTAT:ENV_WASFAC(1.0),A,FAC,DSP_L,FI,2014,228.0,
ESTAT:ENV_WASFAC(1.0),A,FAC,DSP_L,FI,2018,188.0,
ESTAT:ENV_WASFAC(1.0),A,FAC,DSP_L,NO,2004,124.0,
ESTAT:ENV_WASFAC(1.0),A,FAC,DSP_L,NO,2006,83.0,
ESTAT:ENV_WASFAC(1.0),A,FAC,DSP_L,NO,2008,95.0,
ESTAT:ENV_WASFAC(1.0),A,FAC,DSP_L,NO,2010,99.0,
ESTAT:ENV_WASFAC(1.0),A,FAC,DSP_L,NO,2012,111.0,
ESTAT:ENV_WASFAC(1.0),A,FAC,DSP_L,NO,2014,112.0,
ESTAT:ENV_WASFAC(1.0),A,FAC,DSP_L,NO,2016,111.0,
ESTAT:ENV_WASFAC(1.0),A,FAC,DSP_L,NO,2018,113.0,
ESTAT:ENV_WASFAC(1.0),A,FAC,DSP_L,NO,2020,129.0,
ESTAT:ENV_WASFAC(1.0),A,FAC,DSP_L,SE,2004,271.0,
ESTAT:ENV_WASFAC(1.0),A,FAC,DSP_L,SE,2006,292.0,
ESTAT:ENV_WASFAC(1.0),A,FAC,DSP_L,SE,2008,239.0,
ESTAT:ENV_WASFAC(1.0),A,FAC,DSP_L,SE,2010,189.0,
ESTAT:ENV_WASFAC(1.0),A,FAC,DSP_L,SE,2012,227.0,
ESTAT:ENV_WASFAC(1.0),A,FAC,DSP_L,SE,2014,228.0,
ESTAT:ENV_WASFAC(1.0),A,FAC,DSP_L,SE,2016,221.0,e
ESTAT:ENV_WASFAC(1.0),A,FAC,DSP_L,SE,2018,175.0,
ESTAT:ENV_WASFAC(1.0),A,FAC,DSP_L,SE,2020,188.0,e
ESTAT:ENV_WASFAC(1.0),A,FAC,DSP_LH,EU27_2020,2010,512.0,
ESTAT:ENV_WASFAC(1.0),A,FAC,DSP_LH,EU27_2020,2012,329.0,
ESTAT:ENV_WASFAC(1.0),A,FAC,DSP_LH,EU27_2020,2014,297.0,
ESTAT:ENV_WASFAC(1.0),A,FAC,DSP_LH,EU27_2020,2016,267.0,
