DATAFLOW,freq,waste,unit,country_code,year,value,OBS_FLAG
ESTAT:ENV_WASPACR(1.0),A,W1501,RT,AT,2012,65.9,
ESTAT:ENV_WASPACR(1.0),A,W1501,RT,AT,2013,66.6,
ESTAT:ENV_WASPACR(1.0),A,W1501,RT,AT,2014,66.6,
ESTAT:ENV_WASPACR(1.0),A,W1501,RT,AT,2015,67.1,
ESTAT:ENV_WASPACR(1.0),A,W1501,RT,AT,2016,66.8,
ESTAT:ENV_WASPACR(1.0),A,W1501,RT,AT,2017,65.6,
ESTAT:ENV_WASPACR(1.0),A,W1501,RT,AT,2018,65.5,
ESTAT:ENV_WASPACR(1.0),A,W1501,RT,AT,2019,65.4,
ESTAT:ENV_WASPACR(1.0),A,W1501,RT,AT,2020,63.7,
ESTAT:ENV_WASPACR(1.0),A,W1501,RT,AT,2021,65.8,
ESTAT:ENV_WASPACR(1.0),A,W1501,RT,BE,2012,80.3,
ESTAT:ENV_WASPACR(1.0),A,W1501,RT,BE,2013,78.7,
ESTAT:ENV_WASPACR(1.0),A,W1501,RT,BE,2014,81.3,
ESTAT:ENV_WASPACR(1.0),A,W1501,RT,BE,2015,81.5,
ESTAT:ENV_WASPACR(1.0),A,W1501,RT,BE,2016,81.9,
ESTAT:ENV_WASPACR(1.0),A,W1501,RT,BE,2017,83.8,
ESTAT:ENV_WASPACR(1.0),A,W1501,RT,BE,2018,85.3,
ESTAT:ENV_WASPACR(1.0),A,W1501,RT,BE,2019,83.5,
ESTAT:ENV_WASPACR(1.0),A,W1501,RT,BE,2020,79.7,
ESTAT:ENV_WASPACR(1.0),A,W1501,RT,BE,2021,80.4,
ESTAT:ENV_WASPACR(1.0),A,W1501,RT,BG,2012,66.5,
ESTAT:ENV_WASPACR(1.0),A,W1501,RT,BG,2013,65.7,
ESTAT:ENV_WASPACR(1.0),A,W1501,RT,BG,2014,62.0,
ESTAT:ENV_WASPACR(1.0),A,W1501,RT,BG,2015,64.1,
ESTAT:ENV_WASPACR(1.0),A,W1501,RT,BG,2016,63.8,
ESTAT:ENV_WASPACR(1.0),A,W1501,RT,BG,2017,65.6,
ESTAT:ENV_WASPACR(1.0),A,W1501,RT,BG,2018,60.4,
ESTAT:ENV_WASPACR(1.0),A,W1501,RT,BG,2019,61.2,
ESTAT:ENV_WASPACR(1.0),A,W1501,RT,CY,2012,55.3,e
ESTAT:ENV_WASPACR(1.0),A,W1501,RT,CY,2013,56.6,
ESTAT:ENV_WASPACR(1.0),A,W1501,RT,CY,2014,58.7,
ESTAT:ENV_WASPACR(1.0),A,W1501,RT,CY,2015,59.8,
ESTAT:ENV_WASPACR(1.0),A,W1501,RT,CY,2016,64.6,
ESTAT:ENV_WASPACR(1.0),A,W1501,RT,CY,2017,66.2,
ESTAT:ENV_WASPACR(1.0),A,W1501,RT,CY,2018,70.2,
ESTAT:ENV_WASPACR(1.0),A,W1501,RT,CY,2019,66.8,
ESTAT:ENV_WASPACR(1.0),A,W1501,RT,CY,2020,59.9,
ESTAT:ENV_WASPACR(1.0),A,W1501,RT,CY,2021,63.5,
ESTAT:ENV_WASPACR(1.0),A,W1501,RT,CZ,2012,69.9,
ESTAT:ENV_WASPACR(1.0),A,W1501,RT,CZ,2013,69.9,
ESTAT:ENV_WASPACR(1.0),A,W1501,RT,CZ,2014,73.0,
ESTAT:ENV_WASPACR(1.0),A,W1501,RT,CZ,2015,74.3,
ESTAT:ENV_WASPACR(1.0),A,W1501,RT,CZ,2016,75.3,
ESTAT:ENV_WASPACR(1.0),A,W1501,RT,CZ,2017,72.3,
ESTAT:ENV_WASPACR(1.0),A,W1501,RT,CZ,2018,69.6,
ESTAT:ENV_WASPACR(1.0),A,W1501,RT,CZ,2019,71.2,
ESTAT:ENV_WASPACR(1.0),A,W1501,RT,CZ,2020,67.9,
ESTAT:ENV_WASPACR(1.0),A,W1501,RT,CZ,2021,69.1,
ESTAT:ENV_WASPACR(1.0),A,W1501,RT,DE,2012,71.3,
ESTAT:ENV_WASPACR(1.0),A,W1501,RT,DE,2013,71.8,
ESTAT:ENV_WASPACR(1.0),A,W1501,RT,DE,2014,71.4,
ESTAT:ENV_WASPACR(1.0),A,W1501,RT,DE,2015,69.3,
ESTAT:ENV_WASPACR(1.0),A,W1501,RT,DE,2016,70.7,
ESTAT:ENV_WASPACR(1.0),A,W1501,RT,DE,2017,69.9,
ESTAT:ENV_WASPACR(1.0),A,W1501,RT,DE,2018,68.5,
ESTAT:ENV_WASPACR(1.0),A,W1501,RT,DE,2019,64.0,b
ESTAT:ENV_WASPACR(1.0),A,W1501,RT,DE,2020,68.1,
ESTAT:ENV_WASPACR(1.0),A,W1501,RT,DE,2021,67.9,
ESTAT:ENV_WASPACR(1.0),A,W1501,RT,DK,2012,61.6,e
ESTAT:ENV_WASPACR(1.0),A,W1501,RT,DK,2013,69.8,
ESTAT:ENV_WASPACR(1.0),A,W1501,RT,DK,2014,69.8,
ESTAT:ENV_WASPACR(1.0),A,W1501,RT,DK,2015,73.9,
ESTAT:ENV_WASPACR(1.0),A,W1501,RT,DK,2016,79.0,
ESTAT:ENV_WASPACR(1.0),A,W1501,RT,DK,2017,71.5,
ESTAT:ENV_WASPACR(1.0),A,W1501,RT,DK,2018,70.1,
ESTAT:ENV_WASPACR(1.0),A,W1501,RT,DK,2019,70.4,
ESTAT:ENV_WASPACR(1.0),A,W1501,RT,DK,2020,64.0,
ESTAT:ENV_WASPACR(1.0),A,W1501,RT,EE,2012,61.3,
ESTAT:ENV_WASPACR(1.0),A,W1501,RT,EE,2013,58.4,
ESTAT:ENV_WASPACR(1.0),A,W1501,RT,EE,2014,60.3,
ESTAT:ENV_WASPACR(1.0),A,W1501,RT,EE,2015,59.0,
ESTAT:ENV_WASPACR(1.0),A,W1501,RT,EE,2016,56.0,
ESTAT:ENV_WASPACR(1.0),A,W1501,RT,EE,2017,53.5,
ESTAT:ENV_WASPACR(1.0),A,W1501,RT,EE,2018,60.4,
ESTAT:ENV_WASPACR(1.0),A,W1501,RT,EE,2019,66.2,b
ESTAT:ENV_WASPACR(1.0),A,W1501,RT,EE,2020,71.4,
ESTAT:ENV_WASPACR(1.0),A,W1501,RT,EE,2021,70.4,
ESTAT:ENV_WASPACR(1.0),A,W1501,RT,EL,2012,58.6,
ESTAT:ENV_WASPACR(1.0),A,W1501,RT,EL,2013,52.4,
ESTAT:ENV_WASPACR(1.0),A,W1501,RT,EL,2014,53.8,
ESTAT:ENV_WASPACR(1.0),A,W1501,RT,EL,2015,60.3,
ESTAT:ENV_WASPACR(1.0),A,W1501,RT,EL,2016,66.1,
ESTAT:ENV_WASPACR(1.0),A,W1501,RT,EL,2017,68.6,
ESTAT:ENV_WASPACR(1.0),A,W1501,RT,EL,2018,63.6,e
ESTAT:ENV_WASPACR(1.0),A,W1501,RT,EL,2019,60.1,e
ESTAT:ENV_WASPACR(1.0),A,W1501,RT,ES,2012,65.5,
ESTAT:ENV_WASPACR(1.0),A,W1501,RT,ES,2013,66.6,
ESTAT:ENV_WASPACR(1.0),A,W1501,RT,ES,2014,68.7,
ESTAT:ENV_WASPACR(1.0),A,W1501,RT,ES,2015,68.4,
ESTAT:ENV_WASPACR(1.0),A,W1501,RT,ES,2016,70.3,
ESTAT:ENV_WASPACR(1.0),A,W1501,RT,ES,2017,68.5,
ESTAT:ENV_WASPACR(1.0),A,W1501,RT,ES,2018,68.8,
ESTAT:ENV_WASPACR(1.0),A,W1501,RT,ES,2019,69.6,
ESTAT:ENV_WASPACR(1.0),A,W1501,RT,ES,2020,68.3,
ESTAT:ENV_WASPACR(1.0),A,W1501,RT,ES,2021,70.1,
ESTAT:ENV_WASPACR(1.0),A,W1501,RT,EU27_2020,2012,65.2,
ESTAT:ENV_WASPACR(1.0),A,W1501,RT,EU27_2020,2013,65.4,
ESTAT:ENV_WASPACR(1.0),A,W1501,RT,EU27_2020,2014,66.5,
ESTAT:ENV_WASPACR(1.0),A,W1501,RT,EU27_2020,2015,66.6,
ESTAT:ENV_WASPACR(1.0),A,W1501,RT,EU27_2020,2016,67.6,
ESTAT:ENV_WASPACR(1.0),A,W1501,RT,EU27_2020,2017,67.5,
ESTAT:ENV_WASPACR(1.0),A,W1501,RT,EU27_2020,2018,65.6,
ESTAT:ENV_WASPACR(1.0),A,W1501,RT,EU27_2020,2019,64.8,
ESTAT:ENV_WASPACR(1.0),A,W1501,RT,EU27_2020,2020,64.0,
ESTAT:ENV_WASPACR(1.0),A,W1501,RT,EU27_2020,2021,64.0,s
ESTAT:ENV_WASPACR(1.0),A,W1501,RT,FI,2012,59.3,
ESTAT:ENV_WASPACR(1.0),A,W1501,RT,FI,2013,58.0,
ESTAT:ENV_WASPACR(1.0),A,W1501,RT,FI,2014,57.4,
ESTAT:ENV_WASPACR(1.0),A,W1501,RT,FI,2015,60.9,
ESTAT:ENV_WASPACR(1.0),A,W1501,RT,FI,2016,64.7,
ESTAT:ENV_WASPACR(1.0),A,W1501,RT,FI,2017,65.2,
ESTAT:ENV_WASPACR(1.0),A,W1501,RT,FI,2018,70.2,
ESTAT:ENV_WASPACR(1.0),A,W1501,RT,FI,2019,70.6,
ESTAT:ENV_WASPACR(1.0),A,W1501,RT,FI,2020,73.2,
ESTAT:ENV_WASPACR(1.0),A,W1501,RT,FI,2021,72.5,
ESTAT:ENV_WASPACR(1.0),A,W1501,RT,FR,2012,64.9,
ESTAT:ENV_WASPACR(1.0),A,W1501,RT,FR,2013,66.4,
ESTAT:ENV_WASPACR(1.0),A,W1501,RT,FR,2014,65.2,
ESTAT:ENV_WASPACR(1.0),A,W1501,RT,FR,2015,65.5,
ESTAT:ENV_WASPACR(1.0),A,W1501,RT,FR,2016,66.0,
ESTAT:ENV_WASPACR(1.0),A,W1501,RT,FR,2017,68.1,
ESTAT:ENV_WASPACR(1.0),A,W1501,RT,FR,2018,63.5,
ESTAT:ENV_WASPACR(1.0),A,W1501,RT,FR,2019,65.6,
ESTAT:ENV_WASPACR(1.0),A,W1501,RT,FR,2020,60.3,
ESTAT:ENV_WASPACR(1.0),A,W1501,RT,FR,2021,61.8,
ESTAT:ENV_WASPACR(1.0),A,W1501,RT,HR,2012,59.7,
ESTAT:ENV_WASPACR(1.0),A,W1501,RT,HR,2013,58.8,
ESTAT:ENV_WASPACR(1.0),A,W1501,RT,HR,2014,52.7,
ESTAT:ENV_WASPACR(1.0),A,W1501,RT,HR,2015,60.1,
ESTAT:ENV_WASPACR(1.0),A,W1501,RT,HR,2016,54.7,
ESTAT:ENV_WASPACR(1.0),A,W1501,RT,HR,2017,53.3,
ESTAT:ENV_WASPACR(1.0),A,W1501,RT,HR,2018,58.4,
ESTAT:ENV_WASPACR(1.0),A,W1501,RT,HR,2019,48.9,
ESTAT:ENV_WASPACR(1.0),A,W1501,RT,HR,2020,54.2,
ESTAT:ENV_WASPACR(1.0),A,W1501,RT,HR,2021,50.8,
ESTAT:ENV_WASPACR(1.0),A,W1501,RT,HU,2012,48.5,
ESTAT:ENV_WASPACR(1.0),A,W1501,RT,HU,2013,49.2,
ESTAT:ENV_WASPACR(1.0),A,W1501,RT,HU,2014,48.4,
ESTAT:ENV_WASPACR(1.0),A,W1501,RT,HU,2015,50.1,
ESTAT:ENV_WASPACR(1.0),A,W1501,RT,HU,2016,49.7,
ESTAT:ENV_WASPACR(1.0),A,W1501,RT,HU,2017,49.7,
ESTAT:ENV_WASPACR(1.0),A,W1501,RT,HU,2018,46.1,
ESTAT:ENV_WASPACR(1.0),A,W1501,RT,HU,2019,47.0,
ESTAT:ENV_WASPACR(1.0),A,W1501,RT,HU,2020,52.4,
ESTAT:ENV_WASPACR(1.0),A,W1501,RT,IE,2012,74.0,
ESTAT:ENV_WASPACR(1.0),A,W1501,RT,IE,2013,70.2,
ESTAT:ENV_WASPACR(1.0),A,W1501,RT,IE,2014,68.3,
ESTAT:ENV_WASPACR(1.0),A,W1501,RT,IE,2015,67.5,
ESTAT:ENV_WASPACR(1.0),A,W1501,RT,IE,2016,67.0,
ESTAT:ENV_WASPACR(1.0),A,W1501,RT,IE,2017,65.6,
ESTAT:ENV_WASPACR(1.0),A,W1501,RT,IE,2018,63.9,
ESTAT:ENV_WASPACR(1.0),A,W1501,RT,IE,2019,62.5,
ESTAT:ENV_WASPACR(1.0),A,W1501,RT,IE,2020,62.4,
ESTAT:ENV_WASPACR(1.0),A,W1501,RT,IE,2021,58.1,
ESTAT:ENV_WASPACR(1.0),A,W1501,RT,IS,2012,40.7,
ESTAT:ENV_WASPACR(1.0),A,W1501,RT,IS,2013,42.9,
ESTAT:ENV_WASPACR(1.0),A,W1501,RT,IS,2014,42.8,
ESTAT:ENV_WASPACR(1.0),A,W1501,RT,IS,2015,47.4,
ESTAT:ENV_WASPACR(1.0),A,W1501,RT,IS,2016,47.2,
ESTAT:ENV_WASPACR(1.0),A,W1501,RT,IS,2017,44.4,
ESTAT:ENV_WASPACR(1.0),A,W1501,RT,IS,2018,51.2,
ESTAT:ENV_WASPACR(1.0),A,W1501,RT,IS,2019,46.3,
ESTAT:ENV_WASPACR(1.0),A,W1501,RT,IS,2020,57.0,
ESTAT:ENV_WASPACR(1.0),A,W1501,RT,IS,2021,49.8,
ESTAT:ENV_WASPACR(1.0),A,W1501,RT,IT,2012,66.6,
ESTAT:ENV_WASPACR(1.0),A,W1501,RT,IT,2013,66.7,
ESTAT:ENV_WASPACR(1.0),A,W1501,RT,IT,2014,65.4,
ESTAT:ENV_WASPACR(1.0),A,W1501,RT,IT,2015,66.8,
ESTAT:ENV_WASPACR(1.0),A,W1501,RT,IT,2016,66.9,
ESTAT:ENV_WASPACR(1.0),A,W1501,RT,IT,2017,67.1,
ESTAT:ENV_WASPACR(1.0),A,W1501,RT,IT,2018,68.3,
ESTAT:ENV_WASPACR(1.0),A,W1501,RT,IT,2019,69.6,
ESTAT:ENV_WASPACR(1.0),A,W1501,RT,IT,2020,72.8,
ESTAT:ENV_WASPACR(1.0),A,W1501,RT,IT,2021,72.9,
ESTAT:ENV_WASPACR(1.0),A,W1501,RT,LI,2012,44.3,
ESTAT:ENV_WASPACR(1.0),A,W1501,RT,LI,2013,50.3,
ESTAT:ENV_WASPACR(1.0),A,W1501,RT,LI,2014,51.9,
ESTAT:ENV_WASPACR(1.0),A,W1501,RT,LI,2015,66.1,
ESTAT:ENV_WASPACR(1.0),A,W1501,RT,LI,2016,65.8,
ESTAT:ENV_WASPACR(1.0),A,W1501,RT,LI,2017,66.7,
ESTAT:ENV_WASPACR(1.0),A,W1501,RT,LI,2018,68.0,
ESTAT:ENV_WASPACR(1.0),A,W1501,RT,LI,2019,70.0,
ESTAT:ENV_WASPACR(1.0),A,W1501,RT,LI,2020,72.1,
ESTAT:ENV_WASPACR(1.0),A,W1501,RT,LI,2021,72.2,
ESTAT:ENV_WASPACR(1.0),A,W1501,RT,LT,2012,62.2,
ESTAT:ENV_WASPACR(1.0),A,W1501,RT,LT,2013,53.5,
ESTAT:ENV_WASPACR(1.0),A,W1501,RT,LT,2014,57.7,
ESTAT:ENV_WASPACR(1.0),A,W1501,RT,LT,2015,59.8,
ESTAT:ENV_WASPACR(1.0),A,W1501,RT,LT,2016,69.5,
ESTAT:ENV_WASPACR(1.0),A,W1501,RT,LT,2017,61.8,
ESTAT:ENV_WASPACR(1.0),A,W1501,RT,LT,2018,60.7,
ESTAT:ENV_WASPACR(1.0),A,W1501,RT,LT,2019,61.9,
ESTAT:ENV_WASPACR(1.0),A,W1501,RT,LT,2020,61.8,b
ESTAT:ENV_WASPACR(1.0),A,W1501,RT,LU,2012,62.5,
ESTAT:ENV_WASPACR(1.0),A,W1501,RT,LU,2013,62.8,
ESTAT:ENV_WASPACR(1.0),A,W1501,RT,LU,2014,66.0,
ESTAT:ENV_WASPACR(1.0),A,W1501,RT,LU,2015,70.0,
ESTAT:ENV_WASPACR(1.0),A,W1501,RT,LU,2016,70.3,
ESTAT:ENV_WASPACR(1.0),A,W1501,RT,LU,2017,69.7,
ESTAT:ENV_WASPACR(1.0),A,W1501,RT,LU,2018,70.9,
ESTAT:ENV_WASPACR(1.0),A,W1501,RT,LU,2019,71.5,
ESTAT:ENV_WASPACR(1.0),A,W1501,RT,LU,2020,71.9,
ESTAT:ENV_WASPACR(1.0),A,W1501,RT,LU,2021,73.7,
ESTAT:ENV_WASPACR(1.0),A,W1501,RT,LV,2012,51.1,
ESTAT:ENV_WASPACR(1.0),A,W1501,RT,LV,2013,51.0,
ESTAT:ENV_WASPACR(1.0),A,W1501,RT,LV,2014,54.9,
ESTAT:ENV_WASPACR(1.0),A,W1501,RT,LV,2015,53.9,
ESTAT:ENV_WASPACR(1.0),A,W1501,RT,LV,2016,57.7,
ESTAT:ENV_WASPACR(1.0),A,W1501,RT,LV,2017,58.7,
ESTAT:ENV_WASPACR(1.0),A,W1501,RT,LV,2018,55.8,
ESTAT:ENV_WASPACR(1.0),A,W1501,RT,LV,2019,62.4,
ESTAT:ENV_WASPACR(1.0),A,W1501,RT,LV,2020,61.4,
ESTAT:ENV_WASPACR(1.0),A,W1501,RT,LV,2021,61.0,
ESTAT:ENV_WASPACR(1.0),A,W1501,RT,MT,2012,46.6,
ESTAT:ENV_WASPACR(1.0),A,W1501,RT,MT,2013,38.1,
ESTAT:ENV_WASPACR(1.0),A,W1501,RT,MT,2014,41.1,
ESTAT:ENV_WASPACR(1.0),A,W1501,RT,MT,2015,37.1,
ESTAT:ENV_WASPACR(1.0),A,W1501,RT,MT,2016,39.7,
ESTAT:ENV_WASPACR(1.0),A,W1501,RT,MT,2017,35.6,
ESTAT:ENV_WASPACR(1.0),A,W1501,RT,MT,2018,35.7,
ESTAT:ENV_WASPACR(1.0),A,W1501,RT,MT,2019,33.7,
ESTAT:ENV_WASPACR(1.0),A,W1501,RT,MT,2020,40.0,
ESTAT:ENV_WASPACR(1.0),A,W1501,RT,MT,2021,38.4,
ESTAT:ENV_WASPACR(1.0),A,W1501,RT,NL,2012,69.3,
ESTAT:ENV_WASPACR(1.0),A,W1501,RT,NL,2013,70.4,
ESTAT:ENV_WASPACR(1.0),A,W1501,RT,NL,2014,70.5,
ESTAT:ENV_WASPACR(1.0),A,W1501,RT,NL,2015,71.7,
ESTAT:ENV_WASPACR(1.0),A,W1501,RT,NL,2016,72.6,
ESTAT:ENV_WASPACR(1.0),A,W1501,RT,NL,2017,78.1,
ESTAT:ENV_WASPACR(1.0),A,W1501,RT,NL,2018,79.4,
ESTAT:ENV_WASPACR(1.0),A,W1501,RT,NL,2019,80.7,
ESTAT:ENV_WASPACR(1.0),A,W1501,RT,NL,2020,76.5,
ESTAT:ENV_WASPACR(1.0),A,W1501,RT,NL,2021,76.8,
ESTAT:ENV_WASPACR(1.0),A,W1501,RT,NO,2012,55.9,
ESTAT:ENV_WASPACR(1.0),A,W1501,RT,NO,2013,54.5,
ESTAT:ENV_WASPACR(1.0),A,W1501,RT,NO,2014,55.7,
ESTAT:ENV_WASPACR(1.0),A,W1501,RT,NO,2015,55.1,
ESTAT:ENV_WASPACR(1.0),A,W1501,RT,NO,2016,56.3,
ESTAT:ENV_WASPACR(1.0),A,W1501,RT,NO,2017,54.5,
ESTAT:ENV_WASPACR(1.0),A,W1501,RT,NO,2018,52.9,
ESTAT:ENV_WASPACR(1.0),A,W1501,RT,NO,2019,53.9,
ESTAT:ENV_WASPACR(1.0),A,W1501,RT,NO,2020,52.5,
ESTAT:ENV_WASPACR(1.0),A,W1501,RT,PL,2012,41.4,
ESTAT:ENV_WASPACR(1.0),A,W1501,RT,PL,2013,36.1,
ESTAT:ENV_WASPACR(1.0),A,W1501,RT,PL,2014,55.4,
ESTAT:ENV_WASPACR(1.0),A,W1501,RT,PL,2015,57.6,
ESTAT:ENV_WASPACR(1.0),A,W1501,RT,PL,2016,58.0,
ESTAT:ENV_WASPACR(1.0),A,W1501,RT,PL,2017,56.7,
ESTAT:ENV_WASPACR(1.0),A,W1501,RT,PL,2018,58.7,
ESTAT:ENV_WASPACR(1.0),A,W1501,RT,PL,2019,55.5,
ESTAT:ENV_WASPACR(1.0),A,W1501,RT,PT,2012,56.9,
ESTAT:ENV_WASPACR(1.0),A,W1501,RT,PT,2013,61.5,
ESTAT:ENV_WASPACR(1.0),A,W1501,RT,PT,2014,61.0,
ESTAT:ENV_WASPACR(1.0),A,W1501,RT,PT,2015,57.1,
ESTAT:ENV_WASPACR(1.0),A,W1501,RT,PT,2016,60.9,
ESTAT:ENV_WASPACR(1.0),A,W1501,RT,PT,2017,55.3,b
ESTAT:ENV_WASPACR(1.0),A,W1501,RT,PT,2018,57.9,
ESTAT:ENV_WASPACR(1.0),A,W1501,RT,PT,2019,62.8,
ESTAT:ENV_WASPACR(1.0),A,W1501,RT,PT,2020,59.5,
ESTAT:ENV_WASPACR(1.0),A,W1501,RT,PT,2021,63.1,
ESTAT:ENV_WASPACR(1.0),A,W1501,RT,RO,2012,56.8,
ESTAT:ENV_WASPACR(1.0),A,W1501,RT,RO,2013,52.8,
ESTAT:ENV_WASPACR(1.0),A,W1501,RT,RO,2014,54.8,
ESTAT:ENV_WASPACR(1.0),A,W1501,RT,RO,2015,55.9,
ESTAT:ENV_WASPACR(1.0),A,W1501,RT,RO,2016,60.4,
ESTAT:ENV_WASPACR(1.0),A,W1501,RT,RO,2017,60.4,
ESTAT:ENV_WASPACR(1.0),A,W1501,RT,RO,2018,57.9,
ESTAT:ENV_WASPACR(1.0),A,W1501,RT,RO,2019,44.6,b
ESTAT:ENV_WASPACR(1.0),A,W1501,RT,RO,2020,39.9,
ESTAT:ENV_WASPACR(1.0),A,W1501,RT,SE,2012,69.6,
ESTAT:ENV_WASPACR(1.0),A,W1501,RT,SE,2013,71.9,
ESTAT:ENV_WASPACR(1.0),A,W1501,RT,SE,2014,70.5,
ESTAT:ENV_WASPACR(1.0),A,W1501,RT,SE,2015,71.8,
ESTAT:ENV_WASPACR(1.0),A,W1501,RT,SE,2016,68.2,
ESTAT:ENV_WASPACR(1.0),A,W1501,RT,SE,2017,71.7,
ESTAT:ENV_WASPACR(1.0),A,W1501,RT,SE,2018,65.0,
ESTAT:ENV_WASPACR(1.0),A,W1501,RT,SE,2019,63.6,
ESTAT:ENV_WASPACR(1.0),A,W1501,RT,SE,2020,60.9,
ESTAT:ENV_WASPACR(1.0),A,W1501,RT,SE,2021,59.6,
ESTAT:ENV_WASPACR(1.0),A,W1501,RT,SI,2012,66.9,
ESTAT:ENV_WASPACR(1.0),A,W1501,RT,SI,2013,69.0,
ESTAT:ENV_WASPACR(1.0),A,W1501,RT,SI,2014,70.4,
ESTAT:ENV_WASPACR(1.0),A,W1501,RT,SI,2015,67.0,
ESTAT:ENV_WASPACR(1.0),A,W1501,RT,SI,2016,69.4,
ESTAT:ENV_WASPACR(1.0),A,W1501,RT,SI,2017,70.1,
ESTAT:ENV_WASPACR(1.0),A,W1501,RT,SI,2018,68.0,
ESTAT:ENV_WASPACR(1.0),A,W1501,RT,SI,2019,67.1,
ESTAT:ENV_WASPACR(1.0),A,W1501,RT,SI,2020,67.9,
ESTAT:ENV_WASPACR(1.0),A,W1501,RT,SI,2021,55.1,
ESTAT:ENV_WASPACR(1.0),A,W1501,RT,SK,2012,68.1,
ESTAT:ENV_WASPACR(1.0),A,W1501,RT,SK,2013,65.9,
ESTAT:ENV_WASPACR(1.0),A,W1501,RT,SK,2014,65.4,
ESTAT:ENV_WASPACR(1.0),A,W1501,RT,SK,2015,64.3,
ESTAT:ENV_WASPACR(1.0),A,W1501,RT,SK,2016,65.8,
ESTAT:ENV_WASPACR(1.0),A,W1501,RT,SK,2017,65.7,
ESTAT:ENV_WASPACR(1.0),A,W1501,RT,SK,2018,66.6,
ESTAT:ENV_WASPACR(1.0),A,W1501,RT,SK,2019,67.5,
ESTAT:ENV_WASPACR(1.0),A,W1501,RT,SK,2020,70.8,
ESTAT:ENV_WASPACR(1.0),A,W1501,RT,UK,2012,61.4,
ESTAT:ENV_WASPACR(1.0),A,W1501,RT,UK,2013,64.6,
ESTAT:ENV_WASPACR(1.0),A,W1501,RT,UK,2014,59.2,
ESTAT:ENV_WASPACR(1.0),A,W1501,RT,UK,2015,60.6,
ESTAT:ENV_WASPACR(1.0),A,W1501,RT,UK,2016,64.7,
ESTAT:ENV_WASPACR(1.0),A,W1501,RT,UK,2017,63.9,
ESTAT:ENV_WASPACR(1.0),A,W1501,RT,UK,2018,62.1,
ESTAT:ENV_WASPACR(1.0),A,W1501,RT,UKN,2019,63.4,
ESTAT:ENV_WASPACR(1.0),A,W1501,RT,UKN,2020,66.3,
ESTAT:ENV_WASPACR(1.0),A,W1501,RT,UKN,2021,65.7,
ESTAT:ENV_WASPACR(1.0),A,W150102,RT,AT,2012,34.7,
ESTAT:ENV_WASPACR(1.0),A,W150102,RT,AT,2013,34.4,
ESTAT:ENV_WASPACR(1.0),A,W150102,RT,AT,2014,33.6,
ESTAT:ENV_WASPACR(1.0),A,W150102,RT,AT,2015,33.6,
ESTAT:ENV_WASPACR(1.0),A,W150102,RT,AT,2016,33.6,
