,Entity,Code,Year,Mismanaged plastic waste per capita,unit
0,Africa,,2019,10.46592827,kg
1,Albania,ALB,2019,24.23915307,kg
2,Algeria,DZA,2019,17.75899473,kg
3,Angola,AGO,2019,7.445278869,kg
4,Antigua and Barbuda,ATG,2019,6.463917526,kg
5,Argentina,ARG,2019,10.40191152,kg
6,Asia,,2019,8.667235444,kg
7,Australia,AUS,2019,0.20894338,kg
8,Bahamas,BHS,2019,5.686375321,kg
9,Bahrain,BHR,2019,0.635588056,kg
10,Bangladesh,BGD,2019,6.268108387,kg
11,Barbados,BRB,2019,3.038327526,kg
12,Belgium,BEL,2019,0.19793743,kg
13,Belize,BLZ,2019,15.43846154,kg
14,Benin,BEN,2019,11.29861876,kg
15,Bosnia and Herzegovina,BIH,2019,16.82853681,kg
16,Brazil,BRA,2019,15.62046908,kg
17,Brunei,BRN,2019,1.598152425,kg
18,Bulgaria,BGR,2019,0.445285714,kg
19,Burkina Faso,BFA,2019,15.61429064,kg
20,Cambodia,KHM,2019,15.01152423,kg
21,Cameroon,CMR,2019,22.36814036,kg
22,Canada,CAN,2019,0.630483013,kg
23,Cape Verde,CPV,2019,6.487272727,kg
24,Chile,CHL,2019,1.623417054,kg
25,China,CHN,2019,8.559308412,kg
26,Colombia,COL,2019,1.697570472,kg
27,Comoros,COM,2019,69.51586369,kg
28,Congo,COG,2019,12.13361829,kg
29,Costa Rica,CRI,2019,1.139263074,kg
30,Cote d'Ivoire,CIV,2019,11.33934751,kg
31,Croatia,HRV,2019,4.247941889,kg
32,Cyprus,CYP,2019,0.698081735,kg
33,Democratic Republic of Congo,COD,2019,15.78193592,kg
34,Denmark,DNK,2019,0.067567568,kg
35,Djibouti,DJI,2019,10.56365503,kg
36,Dominica,DMA,2019,15.02777778,kg
37,Dominican Republic,DOM,2019,18.06667287,kg
38,East Timor,TLS,2019,13.33642691,kg
39,Ecuador,ECU,2019,6.262058248,kg
40,Egypt,EGY,2019,14.29961748,kg
41,El Salvador,SLV,2019,3.361171367,kg
42,Equatorial Guinea,GNQ,2019,6.934365782,kg
43,Eritrea,ERI,2019,24.0457535,kg
44,Estonia,EST,2019,0.452488688,kg
45,Europe,,2019,1.580226046,kg
46,Fiji,FJI,2019,4.334831461,kg
47,Finland,FIN,2019,0.473788865,kg
48,France,FRA,2019,0.426531552,kg
49,French Guiana,GUF,2019,0.432989691,kg
50,Gabon,GAB,2019,2.757017948,kg
51,Gambia,GMB,2019,14.9467632,kg
52,Georgia,GEO,2019,0.076807606,kg
53,Germany,DEU,2019,0.606774669,kg
54,Ghana,GHA,2019,17.09520679,kg
55,Greece,GRC,2019,0.430249212,kg
56,Grenada,GRD,2019,12.11607143,kg
57,Guadeloupe,GLP,2019,0.405,kg
58,Guatemala,GTM,2019,17.68972186,kg
59,Guinea,GIN,2019,11.58852087,kg
60,Guinea-Bissau,GNB,2019,10.65330557,kg
61,Guyana,GUY,2019,35.20434227,kg
62,Haiti,HTI,2019,21.12829619,kg
63,Honduras,HND,2019,14.97999179,kg
64,Hong Kong,HKG,2019,0.777434104,kg
65,Iceland,ISL,2019,0.445427729,kg
66,India,IND,2019,9.509608,kg
67,Indonesia,IDN,2019,3.045657286,kg
68,Iran,IRN,2019,5.981679813,kg
69,Iraq,IRQ,2019,12.51007377,kg
70,Ireland,IRL,2019,0.547931176,kg
71,Israel,ISR,2019,0.711351098,kg
72,Italy,ITA,2019,0.640842279,kg
73,Jamaica,JAM,2019,16.84972863,kg
74,Japan,JPN,2019,0.281286458,kg
75,Jordan,JOR,2019,12.31686795,kg
76,Kazakhstan,KAZ,2019,2.92393941,kg
77,Kenya,KEN,2019,5.514455815,kg
78,Kiribati,KIR,2019,0.627118644,kg
79,Kuwait,KWT,2019,0.627525553,kg
80,Latvia,LVA,2019,0.500786576,kg
81,Lebanon,LBN,2019,6.800175029,kg
82,Lesotho,LSO,2019,14.30164706,kg
83,Liberia,LBR,2019,8.087907636,kg
84,Libya,LBY,2019,27.81983178,kg
85,Lithuania,LTU,2019,0.375724638,kg
86,Madagascar,MDG,2019,0.936260151,kg
87,Malaysia,MYS,2019,25.491518,kg
88,Maldives,MDV,2019,0.11299435,kg
89,Malta,MLT,2019,0.588636364,kg
90,Marshall Islands,MHL,2019,0.271186441,kg
91,Martinique,MTQ,2019,0.369680851,kg
92,Mauritania,MRT,2019,4.594785683,kg
93,Mauritius,MUS,2019,0.235433071,kg
94,Mexico,MEX,2019,3.375352731,kg
95,Monaco,MCO,2019,0.128205128,kg
96,Montenegro,MNE,2019,0.025477707,kg
97,Morocco,MAR,2019,8.101776705,kg
98,Mozambique,MOZ,2019,14.30652704,kg
99,Myanmar,MMR,2019,8.038338422,kg
100,Namibia,NAM,2019,8.373547094,kg
101,Netherlands,NLD,2019,0.890975025,kg
102,New Zealand,NZL,2019,0.358352498,kg
103,Nicaragua,NIC,2019,16.93583868,kg
104,Nigeria,NGA,2019,9.698005613,kg
105,North America,,2019,5.257716269,kg
106,North Korea,PRK,2019,0.01254578,kg
107,Norway,NOR,2019,0.277746793,kg
108,Oceania,,2019,3.240267755,kg
109,Oman,OMN,2019,0.251457286,kg
110,Pakistan,PAK,2019,6.21734837,kg
111,Palau,PLW,2019,6.444444444,kg
112,Palestine,PSE,2019,0.427424212,kg
113,Panama,PAN,2019,8.558407913,kg
114,Papua New Guinea,PNG,2019,13.62101185,kg
115,Peru,PER,2019,4.315995078,kg
116,Philippines,PHL,2019,37.23096275,kg
117,Poland,POL,2019,0.372782939,kg
118,Portugal,PRT,2019,0.373362018,kg
119,Puerto Rico,PRI,2019,0.440845551,kg
120,Qatar,QAT,2019,0.540960452,kg
121,Reunion,REU,2019,0.262092238,kg
122,Romania,ROU,2019,2.693570875,kg
123,Russia,RUS,2019,2.491149775,kg
124,Saint Kitts and Nevis,KNA,2019,1.830188679,kg
125,Saint Lucia,LCA,2019,23.36612022,kg
126,Saint Vincent and the Grenadines,VCT,2019,11.12612613,kg
127,Samoa,WSM,2019,8.822335025,kg
128,Sao Tome and Principe,STP,2019,9.623255814,kg
129,Saudi Arabia,SAU,2019,0.209402084,kg
130,Senegal,SEN,2019,4.029209622,kg
131,Seychelles,SYC,2019,0.336734694,kg
132,Sierra Leone,SLE,2019,11.67784462,kg
133,Singapore,SGP,2019,0.425223983,kg
134,Slovakia,SVK,2019,0.315008246,kg
135,Slovenia,SVN,2019,0.405964406,kg
136,Solomon Islands,SLB,2019,5.253731343,kg
137,Somalia,SOM,2019,0.002719679,kg
138,South Africa,ZAF,2019,12.09855186,kg
139,South Korea,KOR,2019,0.237306003,kg
140,Spain,ESP,2019,0.435415196,kg
141,Sri Lanka,LKA,2019,7.290658413,kg
142,Sudan,SDN,2019,18.25672109,kg
143,Suriname,SUR,2019,39.47160069,kg
144,Sweden,SWE,2019,0.423973695,kg
145,Syria,SYR,2019,0.029408319,kg
146,Taiwan,TWN,2019,0.315554808,kg
147,Tanzania,TZA,2019,29.59055254,kg
148,Thailand,THA,2019,19.55720564,kg
149,Togo,TGO,2019,15.06842366,kg
150,Tonga,TON,2019,6.403846154,kg
151,Trinidad and Tobago,TTO,2019,52.42939068,kg
152,Tunisia,TUN,2019,24.7574177,kg
153,Turkey,TUR,2019,19.85029366,kg
154,Ukraine,UKR,2019,8.950697822,kg
155,United Arab Emirates,ARE,2019,0.525534746,kg
156,United Kingdom,GBR,2019,0.442973493,kg
157,United States,USA,2019,0.812815117,kg
158,Uruguay,URY,2019,26.75332178,kg
159,Venezuela,VEN,2019,23.54576378,kg
160,Vietnam,VNM,2019,11.53604528,kg
161,Western Sahara,ESH,2019,7.068728522,kg
162,World,OWID_WRL,2019,8.008550858,kg
163,Yemen,YEM,2019,10.00401207,kg
164,Zimbabwe,ZWE,2019,35.83919426,kg
