,Entity,Code,Year,Plastic waste generation (total),unit
0,Albania,ALB,2010,73364,tons (kg)
1,Algeria,DZA,2010,1898343,tons (kg)
2,Angola,AGO,2010,528843,tons (kg)
3,Antigua and Barbuda,ATG,2010,22804,tons (kg)
4,Argentina,ARG,2010,2753550,tons (kg)
5,Aruba,ABW,2010,9352,tons (kg)
6,Australia,AUS,2010,900658,tons (kg)
7,Bahamas,BHS,2010,51364,tons (kg)
8,Bahrain,BHR,2010,59785,tons (kg)
9,Bangladesh,BGD,2010,1888170,tons (kg)
10,Barbados,BRB,2010,58164,tons (kg)
11,Belgium,BEL,2010,318151,tons (kg)
12,Belize,BLZ,2010,20191,tons (kg)
13,Benin,BEN,2010,144382,tons (kg)
14,Bermuda,BMU,2010,5990,tons (kg)
15,Bosnia and Herzegovina,BIH,2010,195633,tons (kg)
16,Brazil,BRA,2010,11852055,tons (kg)
17,British Virgin Islands,VGB,2010,2504,tons (kg)
18,Brunei,BRN,2010,3688,tons (kg)
19,Bulgaria,BGR,2010,415707,tons (kg)
20,Cambodia,KHM,2010,344698,tons (kg)
21,Cameroon,CMR,2010,335305,tons (kg)
22,Canada,CAN,2010,1154309,tons (kg)
23,Cape Verde,CPV,2010,11919,tons (kg)
24,Cayman Islands,CYM,2010,5106,tons (kg)
25,Channel Islands,OWID_CIS,2010,14678,tons (kg)
26,Chile,CHL,2010,738106,tons (kg)
27,China,CHN,2010,59079741,tons (kg)
28,Colombia,COL,2010,2413455,tons (kg)
29,Comoros,COM,2010,50599,tons (kg)
30,Congo,COG,2010,110479,tons (kg)
31,Costa Rica,CRI,2010,428029,tons (kg)
32,Cote d'Ivoire,CIV,2010,766988,tons (kg)
33,Croatia,HRV,2010,406347,tons (kg)
34,Cuba,CUB,2010,368154,tons (kg)
35,Curacao,CUW,2010,13678,tons (kg)
36,Cyprus,CYP,2010,100713,tons (kg)
37,Democratic Republic of Congo,COD,2010,1059795,tons (kg)
38,Denmark,DNK,2010,95171,tons (kg)
39,Djibouti,DJI,2010,31999,tons (kg)
40,Dominica,DMA,2010,3885,tons (kg)
41,Dominican Republic,DOM,2010,520238,tons (kg)
42,Ecuador,ECU,2010,801321,tons (kg)
43,Egypt,EGY,2010,5464471,tons (kg)
44,El Salvador,SLV,2010,330763,tons (kg)
45,Equatorial Guinea,GNQ,2010,49990,tons (kg)
46,Eritrea,ERI,2010,72120,tons (kg)
47,Estonia,EST,2010,85534,tons (kg)
48,Faroe Islands,FRO,2010,4466,tons (kg)
49,Fiji,FJI,2010,59324,tons (kg)
50,Finland,FIN,2010,458084,tons (kg)
51,France,FRA,2010,4557128,tons (kg)
52,French Polynesia,PYF,2010,24634,tons (kg)
53,Gabon,GAB,2010,32329,tons (kg)
54,Gambia,GMB,2010,29646,tons (kg)
55,Georgia,GEO,2010,97443,tons (kg)
56,Germany,DEU,2010,14476561,tons (kg)
57,Ghana,GHA,2010,357877,tons (kg)
58,Gibraltar,GIB,2010,3053,tons (kg)
59,Greece,GRC,2010,811858,tons (kg)
60,Greenland,GRL,2010,5234,tons (kg)
61,Grenada,GRD,2010,12417,tons (kg)
62,Guam,GUM,2010,14666,tons (kg)
63,Guatemala,GTM,2010,1495229,tons (kg)
64,Guinea,GIN,2010,118196,tons (kg)
65,Guinea-Bissau,GNB,2010,30666,tons (kg)
66,Guyana,GUY,2010,159681,tons (kg)
67,Haiti,HTI,2010,328487,tons (kg)
68,Honduras,HND,2010,565317,tons (kg)
69,Hong Kong,HKG,2010,1020406,tons (kg)
70,Iceland,ISL,2010,32620,tons (kg)
71,India,IND,2010,4493080,tons (kg)
72,Indonesia,IDN,2010,5045714,tons (kg)
73,Iran,IRN,2010,3919268,tons (kg)
74,Iraq,IRQ,2010,1156524,tons (kg)
75,Ireland,IRL,2010,715716,tons (kg)
76,Israel,ISR,2010,826436,tons (kg)
77,Italy,ITA,2010,2899258,tons (kg)
78,Jamaica,JAM,2010,34962,tons (kg)
79,Japan,JPN,2010,7993489,tons (kg)
80,Jordan,JOR,2010,377506,tons (kg)
81,Kenya,KEN,2010,407506,tons (kg)
82,Kiribati,KIR,2010,3859,tons (kg)
83,Kuwait,KWT,2010,750690,tons (kg)
84,Latvia,LVA,2010,94935,tons (kg)
85,Lebanon,LBN,2010,148807,tons (kg)
86,Liberia,LBR,2010,121050,tons (kg)
87,Libya,LBY,2010,324250,tons (kg)
88,Lithuania,LTU,2010,149227,tons (kg)
89,Macao,MAC,2010,72126,tons (kg)
90,Madagascar,MDG,2010,123526,tons (kg)
91,Malaysia,MYS,2010,2031675,tons (kg)
92,Maldives,MDV,2010,43134,tons (kg)
93,Malta,MLT,2010,32377,tons (kg)
94,Marshall Islands,MHL,2010,3674,tons (kg)
95,Mauritania,MRT,2010,59287,tons (kg)
96,Mauritius,MUS,2010,104971,tons (kg)
97,Mexico,MEX,2010,3725463,tons (kg)
98,Micronesia (country),FSM,2010,3895,tons (kg)
99,Monaco,MCO,2010,3412,tons (kg)
100,Montenegro,MNE,2010,32557,tons (kg)
101,Morocco,MAR,2010,863555,tons (kg)
102,Mozambique,MOZ,2010,132612,tons (kg)
103,Myanmar,MMR,2010,1373018,tons (kg)
104,Namibia,NAM,2010,114222,tons (kg)
105,Nauru,NRU,2010,527,tons (kg)
106,Netherlands,NLD,2010,2571398,tons (kg)
107,New Caledonia,NCL,2010,22995,tons (kg)
108,New Zealand,NZL,2010,525630,tons (kg)
109,Nicaragua,NIC,2010,299480,tons (kg)
110,Nigeria,NGA,2010,5961750,tons (kg)
111,North Korea,PRK,2010,484700,tons (kg)
112,Northern Mariana Islands,MNP,2010,5006,tons (kg)
113,Norway,NOR,2010,499682,tons (kg)
114,Oman,OMN,2010,93251,tons (kg)
115,Pakistan,PAK,2010,6412210,tons (kg)
116,Palau,PLW,2010,1076,tons (kg)
117,Palestine,PSE,2010,87636,tons (kg)
118,Panama,PAN,2010,192818,tons (kg)
119,Papua New Guinea,PNG,2010,267234,tons (kg)
120,Peru,PER,2010,1543879,tons (kg)
121,Philippines,PHL,2010,2565766,tons (kg)
122,Poland,POL,2010,1346905,tons (kg)
123,Portugal,PRT,2010,1022683,tons (kg)
124,Puerto Rico,PRI,2010,342306,tons (kg)
125,Qatar,QAT,2010,103933,tons (kg)
126,Romania,ROU,2010,310385,tons (kg)
127,Russia,RUS,2010,5839685,tons (kg)
128,Saint Kitts and Nevis,KNA,2010,12280,tons (kg)
129,Saint Lucia,LCA,2010,32882,tons (kg)
130,Saint Vincent and the Grenadines,VCT,2010,8818,tons (kg)
131,Samoa,WSM,2010,7000,tons (kg)
132,Sao Tome and Principe,STP,2010,6571,tons (kg)
133,Saudi Arabia,SAU,2010,1561618,tons (kg)
134,Senegal,SEN,2010,485586,tons (kg)
135,Seychelles,SYC,2010,11730,tons (kg)
136,Sierra Leone,SLE,2010,96655,tons (kg)
137,Singapore,SGP,2010,359483,tons (kg)
138,Sint Maarten (Dutch part),SXM,2010,3263,tons (kg)
139,Slovenia,SVN,2010,108421,tons (kg)
140,Solomon Islands,SLB,2010,19842,tons (kg)
141,Somalia,SOM,2010,237569,tons (kg)
142,South Africa,ZAF,2010,4465798,tons (kg)
143,South Korea,KOR,2010,2025772,tons (kg)
144,Spain,ESP,2010,4709157,tons (kg)
145,Sri Lanka,LKA,2010,2621606,tons (kg)
146,Sudan,SDN,2010,1292740,tons (kg)
147,Suriname,SUR,2010,31300,tons (kg)
148,Sweden,SWE,2010,164305,tons (kg)
149,Syria,SYR,2010,1365594,tons (kg)
150,Tanzania,TZA,2010,386998,tons (kg)
151,Thailand,THA,2010,3532495,tons (kg)
152,Togo,TGO,2010,135294,tons (kg)
153,Tonga,TON,2010,8476,tons (kg)
154,Trinidad and Tobago,TTO,2010,1745123,tons (kg)
155,Tunisia,TUN,2010,559235,tons (kg)
156,Turkey,TUR,2010,5596657,tons (kg)
157,Turks and Caicos Islands,TCA,2010,2851,tons (kg)
158,Tuvalu,TUV,2010,554,tons (kg)
159,Ukraine,UKR,2010,1724509,tons (kg)
160,United Arab Emirates,ARE,2010,600741,tons (kg)
161,United Kingdom,GBR,2010,4925590,tons (kg)
162,United States,USA,2010,37825550,tons (kg)
163,Uruguay,URY,2010,310379,tons (kg)
164,Vanuatu,VUT,2010,25443,tons (kg)
165,Venezuela,VEN,2010,2669998,tons (kg)
166,Vietnam,VNM,2010,3268227,tons (kg)
167,Yemen,YEM,2010,887497,tons (kg)
