,Code,Entity,Year,Plastic waste collected for recycling,unit
0,FIN,Finland,2010,23.363,tons (kg)
1,FIN,Finland,2012,8.392,tons (kg)
2,FIN,Finland,2014,7.948,tons (kg)
3,FIN,Finland,2016,27.216,tons (kg)
4,FIN,Finland,2018,42.008,tons (kg)
5,FIN,Finland,2020,41.196,tons (kg)
6,NLD,Netherlands,2010,282.215,tons (kg)
7,NLD,Netherlands,2012,379.681,tons (kg)
8,NLD,Netherlands,2014,350.182,tons (kg)
9,NLD,Netherlands,2016,291.173,tons (kg)
10,NLD,Netherlands,2018,441.768,tons (kg)
11,NLD,Netherlands,2020,465.137,tons (kg)
12,FRA,France,2010,286.0,tons (kg)
13,FRA,France,2012,227.146,tons (kg)
14,FRA,France,2014,286.327,tons (kg)
15,FRA,France,2016,311.821,tons (kg)
16,FRA,France,2018,335.807,tons (kg)
17,FRA,France,2020,271.749,tons (kg)
18,DNK,Denmark,2010,68.473,tons (kg)
19,DNK,Denmark,2012,69.711,tons (kg)
20,DNK,Denmark,2014,60.423,tons (kg)
21,DNK,Denmark,2016,71.84,tons (kg)
22,DNK,Denmark,2018,58.207,tons (kg)
23,DNK,Denmark,2020,71.652,tons (kg)
24,GRC,Greece,2010,27.339,tons (kg)
25,GRC,Greece,2012,29.292,tons (kg)
26,GRC,Greece,2014,38.113,tons (kg)
27,GRC,Greece,2016,39.02,tons (kg)
28,GRC,Greece,2018,35.21,tons (kg)
29,GRC,Greece,2020,63.487,tons (kg)
30,NOR,Norway,2010,16.436,tons (kg)
31,NOR,Norway,2012,70.49,tons (kg)
32,NOR,Norway,2014,120.93,tons (kg)
33,NOR,Norway,2016,133.375,tons (kg)
34,NOR,Norway,2018,130.022,tons (kg)
35,NOR,Norway,2020,142.27,tons (kg)
36,GBR,United Kingdom,2010,837.104,tons (kg)
37,GBR,United Kingdom,2012,390.807,tons (kg)
38,GBR,United Kingdom,2014,581.258,tons (kg)
39,GBR,United Kingdom,2016,557.035,tons (kg)
40,GBR,United Kingdom,2018,668.881,tons (kg)
41,LTU,Lithuania,2010,18.502,tons (kg)
42,LTU,Lithuania,2012,25.924,tons (kg)
43,LTU,Lithuania,2014,26.677,tons (kg)
44,LTU,Lithuania,2016,40.669,tons (kg)
45,LTU,Lithuania,2018,35.624,tons (kg)
46,LTU,Lithuania,2020,90.094,tons (kg)
47,PRT,Portugal,2010,57.876,tons (kg)
48,PRT,Portugal,2012,58.824,tons (kg)
49,PRT,Portugal,2014,91.605,tons (kg)
50,PRT,Portugal,2016,138.153,tons (kg)
51,PRT,Portugal,2018,139.148,tons (kg)
52,PRT,Portugal,2020,165.607,tons (kg)
53,SVK,Slovak Republic,2010,52.341,tons (kg)
54,SVK,Slovak Republic,2012,56.983,tons (kg)
55,SVK,Slovak Republic,2014,57.047,tons (kg)
56,SVK,Slovak Republic,2016,82.838,tons (kg)
57,SVK,Slovak Republic,2018,84.251,tons (kg)
58,SVK,Slovak Republic,2020,114.65,tons (kg)
59,DEU,Germany,2010,1469.864,tons (kg)
60,DEU,Germany,2012,1644.462,tons (kg)
61,DEU,Germany,2014,1728.92,tons (kg)
62,DEU,Germany,2016,1932.432,tons (kg)
63,DEU,Germany,2018,1996.911,tons (kg)
64,DEU,Germany,2020,2178.29,tons (kg)
65,EST,Estonia,2010,2.111,tons (kg)
66,EST,Estonia,2012,2.888,tons (kg)
67,EST,Estonia,2014,10.059,tons (kg)
68,EST,Estonia,2016,9.923,tons (kg)
69,EST,Estonia,2018,19.682,tons (kg)
70,EST,Estonia,2020,24.841,tons (kg)
71,IRL,Ireland,2010,80.91,tons (kg)
72,IRL,Ireland,2012,73.234,tons (kg)
73,IRL,Ireland,2014,67.135,tons (kg)
74,IRL,Ireland,2016,67.098,tons (kg)
75,IRL,Ireland,2018,59.143,tons (kg)
76,JPN,Japan,2014,6233.0,tons (kg)
77,JPN,Japan,2015,6530.0,tons (kg)
78,JPN,Japan,2016,6537.0,tons (kg)
79,JPN,Japan,2017,6222.0,tons (kg)
80,JPN,Japan,2018,6835.0,tons (kg)
81,JPN,Japan,2019,7302.0,tons (kg)
82,LUX,Luxembourg,2010,15.319,tons (kg)
83,LUX,Luxembourg,2012,11.778,tons (kg)
84,LUX,Luxembourg,2014,22.722,tons (kg)
85,LUX,Luxembourg,2016,12.002,tons (kg)
86,LUX,Luxembourg,2018,11.624,tons (kg)
87,LUX,Luxembourg,2020,12.211,tons (kg)
88,BEL,Belgium,2010,143.949,tons (kg)
89,BEL,Belgium,2012,199.468,tons (kg)
90,BEL,Belgium,2014,204.032,tons (kg)
91,BEL,Belgium,2016,255.478,tons (kg)
92,BEL,Belgium,2018,257.227,tons (kg)
93,BEL,Belgium,2020,330.378,tons (kg)
94,SWE,Sweden,2010,45.336,tons (kg)
95,SWE,Sweden,2012,96.696,tons (kg)
96,SWE,Sweden,2014,81.063,tons (kg)
97,SWE,Sweden,2016,83.575,tons (kg)
98,SWE,Sweden,2018,50.931,tons (kg)
99,SWE,Sweden,2020,46.422,tons (kg)
100,ESP,Spain,2010,1151.087,tons (kg)
101,ESP,Spain,2012,1062.072,tons (kg)
102,ESP,Spain,2014,948.414,tons (kg)
103,ESP,Spain,2016,594.823,tons (kg)
104,ESP,Spain,2018,645.349,tons (kg)
105,ESP,Spain,2020,568.569,tons (kg)
106,ISR,Israel,2002,22.052,tons (kg)
107,ISR,Israel,2003,23.034,tons (kg)
108,ISR,Israel,2004,21.114,tons (kg)
109,ISR,Israel,2005,25.965,tons (kg)
110,ISR,Israel,2006,29.87,tons (kg)
111,ISR,Israel,2007,43.308,tons (kg)
112,ISR,Israel,2008,45.493,tons (kg)
113,ISR,Israel,2009,51.303,tons (kg)
114,ISR,Israel,2010,47.714,tons (kg)
115,ISR,Israel,2011,49.235,tons (kg)
116,ISR,Israel,2012,50.589,tons (kg)
117,ISR,Israel,2013,56.073,tons (kg)
118,ISR,Israel,2014,55.338,tons (kg)
119,ISR,Israel,2015,63.237,tons (kg)
120,ISR,Israel,2016,74.846,tons (kg)
121,ISR,Israel,2017,69.232,tons (kg)
122,ISR,Israel,2018,72.404,tons (kg)
123,ISR,Israel,2019,76.377,tons (kg)
124,ISR,Israel,2020,83.053,tons (kg)
125,ISR,Israel,2021,107.326,tons (kg)
126,ITA,Italy,2010,1669.728,tons (kg)
127,ITA,Italy,2012,1403.056,tons (kg)
128,ITA,Italy,2014,2076.159,tons (kg)
129,ITA,Italy,2016,1707.383,tons (kg)
130,ITA,Italy,2018,1684.827,tons (kg)
131,ITA,Italy,2020,1405.646,tons (kg)
132,SVN,Slovenia,2010,33.123,tons (kg)
133,SVN,Slovenia,2012,31.995,tons (kg)
134,SVN,Slovenia,2014,40.572,tons (kg)
135,SVN,Slovenia,2016,39.583,tons (kg)
136,SVN,Slovenia,2018,61.541,tons (kg)
137,SVN,Slovenia,2020,43.852,tons (kg)
138,AUT,Austria,2010,67.247,tons (kg)
139,AUT,Austria,2012,311.791,tons (kg)
140,AUT,Austria,2014,187.436,tons (kg)
141,AUT,Austria,2016,280.979,tons (kg)
142,AUT,Austria,2018,191.226,tons (kg)
143,AUT,Austria,2020,192.214,tons (kg)
144,ISL,Iceland,2010,3.811,tons (kg)
145,ISL,Iceland,2012,4.903,tons (kg)
146,ISL,Iceland,2014,4.671,tons (kg)
147,ISL,Iceland,2016,7.077,tons (kg)
148,ISL,Iceland,2018,9.514,tons (kg)
149,LVA,Latvia,2010,29.529,tons (kg)
150,LVA,Latvia,2012,34.558,tons (kg)
151,LVA,Latvia,2014,39.91,tons (kg)
152,LVA,Latvia,2016,57.464,tons (kg)
153,LVA,Latvia,2018,50.386,tons (kg)
154,LVA,Latvia,2020,59.493,tons (kg)
155,POL,Poland,2010,311.571,tons (kg)
156,POL,Poland,2012,563.532,tons (kg)
157,POL,Poland,2014,1019.477,tons (kg)
158,POL,Poland,2016,642.816,tons (kg)
159,POL,Poland,2018,862.765,tons (kg)
160,POL,Poland,2020,933.694,tons (kg)
161,TUR,Türkiye,2010,174.431,tons (kg)
162,TUR,Türkiye,2012,328.218,tons (kg)
163,TUR,Türkiye,2014,756.546,tons (kg)
164,TUR,Türkiye,2016,1041.842,tons (kg)
165,TUR,Türkiye,2018,2000.359,tons (kg)
166,TUR,Türkiye,2020,3019.949,tons (kg)
167,CZE,Czechia,2010,78.375,tons (kg)
168,CZE,Czechia,2012,118.669,tons (kg)
169,CZE,Czechia,2014,136.857,tons (kg)
170,CZE,Czechia,2016,186.48,tons (kg)
171,CZE,Czechia,2018,447.797,tons (kg)
172,CZE,Czechia,2020,306.343,tons (kg)
173,HUN,Hungary,2010,58.081,tons (kg)
174,HUN,Hungary,2012,91.466,tons (kg)
175,HUN,Hungary,2014,116.527,tons (kg)
176,HUN,Hungary,2016,131.694,tons (kg)
177,HUN,Hungary,2018,133.609,tons (kg)
178,HUN,Hungary,2020,146.136,tons (kg)
